order_item_id,order_id,product_id,qty,unit_price,subtotal
5405,4135,3050,4,237.22,948.88
12046,6314,3012,7,253.48,1774.36
7996,4974,3049,4,45.8,183.2
11380,6091,3048,5,154.34,771.7
13279,6736,3027,8,263.71,2109.68
10277,5722,3016,5,269.86,1349.3
6601,4528,3013,4,82.3,329.2
7952,4961,3025,2,287.7,575.4
10384,5752,3043,1,32.04,32.04
6194,4392,3023,7,246.35,1724.45
11496,6126,3016,9,269.86,2428.74
8481,5134,3003,3,276.66,829.98
12242,6388,3005,1,144.78,144.78
11863,6254,3043,5,32.04,160.2
10642,5840,3046,2,88.69,177.38
8998,5298,3014,3,245.01,735.03
6123,4371,3028,4,94.59,378.36
10349,5743,3002,4,296.0,1184.0
12988,6635,3036,6,165.35,992.1
13795,6908,3029,4,325.37,1301.48
12871,6594,3002,8,296.0,2368.0
12036,6310,3042,8,66.49,531.92
12255,6391,3030,9,335.5,3019.5
6612,4530,3030,10,335.5,3355.0
5060,4021,3018,6,110.79,664.74
8048,4989,3001,4,261.63,1046.52
8963,5287,3022,5,243.94,1219.7
6655,4544,3019,8,190.11,1520.88
10920,5940,3050,9,237.22,2134.98
9382,5423,3038,2,141.36,282.72
13035,6651,3031,1,33.02,33.02
13120,6681,3039,2,201.46,402.92
11447,6110,3039,7,201.46,1410.22
5645,4212,3032,1,222.89,222.89
12839,6585,3015,8,183.8,1470.4
12645,6519,3017,1,210.24,210.24
10488,5790,3031,8,33.02,264.16
5158,4054,3041,1,125.74,125.74
11742,6211,3013,6,82.3,493.8
12525,6477,3039,8,201.46,1611.68
5939,4306,3010,6,153.27,919.62
6166,4385,3038,7,141.36,989.52
13575,6838,3046,4,88.69,354.76
13891,6940,3008,10,106.65,1066.5
5184,4062,3019,6,190.11,1140.66
11822,6240,3002,5,296.0,1480.0
7207,4725,3008,4,106.65,426.6
6652,4543,3037,3,337.43,1012.29
5902,4294,3014,2,245.01,490.02
9049,5315,3017,7,210.24,1471.68
7362,4776,3001,6,261.63,1569.78
7114,4695,3046,7,88.69,620.83
12155,6354,3032,7,222.89,1560.23
5954,4310,3048,9,154.34,1389.06
7055,4678,3025,3,287.7,863.1
13210,6712,3009,6,166.7,1000.2
9429,5440,3006,3,310.7,932.1
10501,5795,3018,8,110.79,886.32
5781,4255,3037,5,337.43,1687.15
5142,4049,3027,6,263.71,1582.26
8763,5218,3016,10,269.86,2698.6
9615,5507,3030,6,335.5,2013.0
5188,4063,3031,4,33.02,132.08
5972,4316,3046,7,88.69,620.83
6714,4562,3037,5,337.43,1687.15
7479,4816,3018,6,110.79,664.74
5073,4028,3006,7,310.7,2174.9
11146,6017,3046,6,88.69,532.14
9990,5629,3026,2,305.79,611.58
9420,5437,3008,5,106.65,533.25
10436,5773,3029,5,325.37,1626.85
8787,5226,3029,3,325.37,976.11
8983,5293,3039,5,201.46,1007.3
8853,5248,3013,3,82.3,246.9
6708,4560,3026,3,305.79,917.37
12384,6434,3025,6,287.7,1726.2
13930,6952,3050,0,237.22,2372.2
12389,6436,3050,5,237.22,1186.1
11572,6152,3031,5,33.02,165.1
14038,6991,3020,6,63.68,382.08
11266,6055,3019,2,190.11,380.22
6423,4471,3013,6,82.3,493.8
11489,6123,3038,5,141.36,706.8
13712,6879,3017,6,210.24,1261.44
13258,6728,3042,9,66.49,598.41
7235,4735,3009,2,166.7,333.4
5642,4211,3040,5,210.64,1053.2
11274,6058,3003,7,276.66,1936.62
5159,4054,3006,3,310.7,932.1
10781,5887,3022,6,243.94,1463.64
9882,5598,3007,3,155.25,465.75
6349,4448,3038,6,141.36,848.16
5180,4060,3015,10,183.8,1838.0
5125,4044,3039,1,201.46,201.46
8033,4985,3015,6,183.8,1102.8
11598,6161,3016,8,269.86,2158.88
13576,6839,3012,2,253.48,506.96
5187,4062,3037,5,337.43,1687.15
13672,6866,3007,7,155.25,1086.75
12780,6564,3039,5,201.46,1007.3
6993,4657,3033,4,320.35,1281.4
13715,6880,3036,9,165.35,1488.15
12543,6485,3031,8,33.02,264.16
6636,4539,3004,5,73.17,365.85
8235,5056,3029,3,325.37,976.11
11433,6105,3033,8,320.35,2562.8
11629,6169,3035,5,275.01,1375.05
13224,6717,3027,3,263.71,791.13
6041,4345,3046,4,88.69,354.76
13536,6823,3025,4,287.7,1150.8
11919,6270,3009,4,166.7,666.8
10799,5894,3040,1,210.64,210.64
9381,5423,3004,9,73.17,658.53
13584,6840,3014,2,245.01,490.02
11666,6182,3002,10,296.0,2960.0
9575,5493,3041,1,125.74,125.74
6058,4351,3028,4,94.59,378.36
6651,4543,3028,7,94.59,662.13
13091,6671,3015,6,183.8,1102.8
13261,6730,3044,4,179.33,717.32
11211,6038,3005,3,144.78,434.34
8093,5003,3005,4,144.78,579.12
10567,5816,3046,5,88.69,443.45
9909,5606,3034,6,198.12,1188.72
6096,4364,3037,8,337.43,2699.44
6370,4455,3007,10,155.25,1552.5
12482,6464,3027,3,263.71,791.13
13611,6850,3022,5,243.94,1219.7
6961,4645,3020,10,63.68,636.8
5108,4039,3011,5,297.43,1487.15
13877,6935,3006,5,310.7,1553.5
7404,4788,3021,4,104.44,417.76
5851,4278,3019,4,190.11,760.44
10215,5701,3006,4,310.7,1242.8
11718,6203,3018,6,110.79,664.74
7829,4925,3046,9,88.69,798.21
7350,4771,3013,2,82.3,164.6
10946,5951,3036,5,165.35,826.75
12333,6417,3042,5,66.49,332.45
12010,6302,3027,1,263.71,263.71
